id,symbol,avg_diff|float,p_val|float,_hprdClass,_expr,_geneLists,class
RSL24D1,RSL24D1,0.508095,0.000464629,Unclassified,BrainSpLMD|51187,OMIM|613262,tRG
HDLBP,HDLBP,0.507482,7.52e-07,Transport/cargo protein;RNA binding protein,BrainSpLMD|3069,OMIM|142695,tRG
ZC3H14,ZC3H14,0.506951,0.000544438,RNA binding protein,BrainSpLMD|79882,"OMIM|613279;HPO|79882|Autosomal recessive inheritance, Intellectual disability",tRG
RAPGEF2,RAPGEF2,0.506343,7.11e-10,Guanine nucleotide exchange factor,BrainSpLMD|9693;Eurexp|euxassay_014449|olfactory,OMIM|609530,tRG
PPP1R15A,PPP1R15A,0.504394,1.06e-07,Cell cycle control protein,BrainSpLMD|23645,OMIM|611048,tRG
TWSG1,TWSG1,0.504016,1.29e-05,Secreted polypeptide,BrainSpLMD|57045,OMIM|605049,tRG
LRRC41,LRRC41,0.503407,0.000906803,Adapter molecule,BrainSpLMD|10489,"",tRG
SPAG9,SPAG9,0.503369,7.01e-14,Integral membrane protein,"BrainSpLMD|9043;Eurexp|euxassay_014482|dorsal root ganglion, facial VII, glossopharyngeal IX, neural retina, trigeminal V, vestibulocochlear VIII",OMIM|605430,tRG
ALKBH2,ALKBH2,0.502755,0.000860391,DNA repair protein,BrainSpLMD|121642,OMIM|610602,tRG
PTPN13,PTPN13,0.502053,5.67e-05,Tyrosine phosphatase,BrainSpLMD|5783,"OMIM|600267;COSMIC||lung, NSCLC, gastric, peritoneal carcinomatosis, hepatocellular",tRG
RPL3,RPL3,0.500514,2e-12,Ribosomal subunit,"",OMIM|604163,tRG
TANC2,TANC2,0.498289,1.34e-07,Unclassified,"","SFARI||Autism, 4 - Minimal evidence;OMIM|615047",tRG
PNRC2,PNRC2,0.496777,1.1e-06,Ligand,"Eurexp|euxassay_002876|thymus primordium, ventricular layer",OMIM|611882,tRG
RNF216,RNF216,0.494517,0.000134224,Ubiquitin proteasome system protein,BrainSpLMD|54476,"OMIM|609948;HPO|54476|Abnormal electroretinogram, Abnormality of metabolism/homeostasis, Abnormality of retinal pigmentation, Abnormality of the hypothalamus-pituitary axis, Abnormality of the skeletal system, Ataxia, Autosomal recessive inheritance, Cerebellar atrophy, Cerebral atrophy, Chorioretinal dystrophy, Decreased fertility, Dementia, Dysarthria, Gynecomastia, Hemiplegia/hemiparesis, Hypogonadotrophic hypogonadism, Infertility, Muscular hypotonia, Neurological speech impairment, Nystagmus, Optic atrophy",tRG
CHMP2B,CHMP2B,0.493909,0.000295027,Transport/cargo protein,"BrainSpLMD|25978;Eurexp|euxassay_017077|dorsal grey horn, intermediate grey horn, mantle layer, ventral grey horn, ventricular layer, vibrissa","OMIM|609512;HPO|25978|Abnormal brain FDG positron emission tomography, Abnormality of the cerebral white matter, Adult onset, Aggressive behavior, Alexia, Amyotrophic lateral sclerosis, Anxiety, Apathy, Apraxia, Areflexia, Astrocytosis, Autosomal dominant inheritance, Babinski sign, Bulbar signs, Cerebral cortical atrophy, Collectionism, Depressivity, Disinhibition, Dysarthria, Dyscalculia, Dysgraphia, Dyslexia, Dysphagia, Dysphasia, Dyspnea, Dystonia, EEG with continuous slow activity, Echolalia, Emotional blunting, Emotional lability, Fasciculations, Fatigable weakness of respiratory muscles, Fatigable weakness of swallowing muscles, Fatigue, Frontal release signs, Frontotemporal cerebral atrophy, Frontotemporal dementia, Gait disturbance, Generalized muscle weakness, Grammar-specific speech disorder, Hyperorality, Hyperreflexia, Hyporeflexia, Inappropriate behavior, Irritability, Lack of insight, Loss of speech, Memory impairment, Muscle cramps, Mutism, Myoclonus, Neurodegeneration, Neuronal loss in central nervous system, Orofacial dyskinesia, Pain, Paralysis, Perseveration, Personality changes, Poor speech, Rapidly progressive, Respiratory failure, Respiratory insufficiency due to muscle weakness, Restlessness, Restrictive behavior, Rigidity, Skeletal muscle atrophy, Spasticity, Spoken Word Recognition Deficit, Stereotypy, Temporal cortical atrophy, Thickened nuchal skin fold, Urinary incontinence, Xerostomia",tRG
CSTB,CSTB,0.493793,3.35e-08,Protease inhibitor,"BrainSpLMD|1476;Eurexp|euxassay_009738|bladder, mandible, maxilla, stomach, thymus primordium","OMIM|601145;HPO|1476|Absence seizures, Ataxia, Autosomal recessive inheritance, Dysarthria, EEG with polyspike wave complexes, Generalized tonic-clonic seizures, Intention tremor, Limb ataxia, Mental deterioration, Morning myoclonic jerks, Myoclonus",tRG
SPG20,SPG20,0.493058,4.63e-05,"","","",tRG
SLC25A5,SLC25A5,0.492716,1.58e-09,Integral membrane protein,"",OMIM|300150,tRG
DNAJB5,DNAJB5,0.492325,0.000369651,Heat shock protein,"BrainSpLMD|25822;Eurexp|euxassay_014885|accessory XI, alar plate, basal plate, brachial plexus, brain, central nervous system, cerebellum, cerebral cortex, cervico-thoracic, cranial, diencephalon, dorsal root ganglion, facial VII, forebrain, ganglion, glossopharyngeal IX, heart, hindbrain, hypogastric plexus, hypoglossal XII, hypothalamus, inferior, intrinsic, lateral wall, lumbo-sacral plexus, lung, marginal layer, maxillary division, metanephros, midbrain, nerve, nerve plexus, nerve trunk, neural retina, olfactory, parasympathetic, pectoral girdle and thoracic body wall, pelvic girdle, rest of alar plate, retina, skeletal muscle, spinal cord, telencephalon, thalamus, tongue, trigeminal V, vagal X nerve trunk, vagus X, vestibulocochlear VIII, vibrissa",OMIM|611328,tRG
MORF4L2,MORF4L2,0.491196,5.28e-12,Transcription regulatory protein,BrainSpLMD|9643;Eurexp|euxassay_007035|embryo,OMIM|300409,tRG
UBAC2,UBAC2,0.489409,0.000540443,Unclassified,BrainSpLMD|337867,"HPO|337867|Abdominal pain, Abnormal blistering of the skin, Acne, Arthralgia, Arthritis, Confusion, Fatigue, Fever, Gait disturbance, Gastrointestinal hemorrhage, Hemiparesis, Immunologic hypersensitivity, Meningitis, Migraine, Myalgia, Nausea and vomiting, Oral ulcer, Orchitis, Papule, Photophobia, Recurrent aphthous stomatitis, Subcutaneous nodule, Vasculitis, Venous thrombosis",tRG
RPL3P4,RPL3P4,0.489097,1.69e-10,"","","",tRG
SLITRK2,SLITRK2,0.488551,1.11e-16,Integral membrane protein,"BrainSpLMD|84631;Eurexp|euxassay_012159|dorsal root ganglion, facial VII, glossopharyngeal IX, marginal layer, trigeminal V, vagus X, ventricular layer, vestibulocochlear VIII",OMIM|300561,tRG
HTRA1,HTRA1,0.486824,0.00059993,Serine protease,"BrainSpLMD|5654;Eurexp|euxassay_005061|anterior abdominal wall, aorta, axial muscle, axial skeleton, choroid plexus, diaphragm, humerus, incisor, lung, mesenchyme, metatarsus, molar, nucleus pulposus, pancreas, pelvic girdle, pharyngo-tympanic tube, rest of mesenchyme, rest of mesencyme, roof plate, scapula, skeletal muscle, sternum, tongue, trachea, ventricular layer, vibrissa","OMIM|602194;HPO|5654|Abnormality of extrapyramidal motor function, Alopecia, Arteriosclerosis of small cerebral arteries, Ataxia, Autosomal recessive inheritance, Babinski sign, Dementia, Diffuse demyelination of the cerebral white matter, Diffuse white matter abnormalities, Dysarthria, Gait disturbance, Hyperreflexia, Leukoencephalopathy, Low back pain, Progressive encephalopathy, Pseudobulbar signs, Rigidity, Spasticity, Urinary incontinence",tRG
SMG1P4,SMG1P4,0.486702,0.000112962,"","","",tRG
GAPDH,GAPDH,0.486547,1.27e-13,Enzyme: Dehydrogenase,"",OMIM|138400,tRG
C16orf80,C16orf80,0.484167,1.08e-10,"","","",tRG
MAP4,MAP4,0.483983,4.99e-09,Cytoskeletal associated protein,BrainSpLMD|4134,OMIM|157132,tRG
ERBB2IP,ERBB2IP,0.483094,4.3e-08,"","","",tRG
TMEM98,TMEM98,0.482649,6.18e-14,Integral membrane protein,BrainSpLMD|26022,"OMIM|615949;HPO|26022|Abnormality of the choroid, Autosomal dominant inheritance, Glaucoma, High-grade hypermetropia, Microphthalmia, Strabismus",tRG
EIF5,EIF5,0.482252,2.1e-09,Translation regulatory protein;GTPase activating protein,BrainSpLMD|1983,OMIM|601710,tRG
TTYH3,TTYH3,0.482202,0.000522753,Ion channel,BrainSpLMD|80727,OMIM|608919,tRG
UCP2,UCP2,0.480816,7.67e-05,Transport/cargo protein,"BrainSpLMD|7351;Eurexp|euxassay_010584|liver, olfactory, vibrissa, vomeronasal organ","OMIM|601693;HPO|7351|Abnormality of fatty-acid metabolism, Coma, Diarrhea, Hepatomegaly, Hyperhidrosis, Hyperinsulinemic hypoglycemia, Hypoketotic hypoglycemia, Lethargy, Neonatal hypoglycemia, Pallor, Pancreatic islet-cell hyperplasia, Progressive neurologic deterioration, Tachycardia, Vomiting",tRG
HNRNPH2,HNRNPH2,0.478924,3.41e-07,Ribonucleoprotein,BrainSpLMD|3188,"SFARI||Autism, 4 - Minimal evidence;OMIM|300610;HPO|3188|Aggressive behavior, Anxiety, Ataxia, Autistic behavior, Constipation, Developmental regression, Epicanthus, Failure to thrive, Feeding difficulties, Gait disturbance, Gastroesophageal reflux, Generalized hypotonia, Global developmental delay, High palate, Hyperlordosis, Hypertelorism, Hypertonia, Hypotelorism, Intellectual disability, Joint laxity, Micrognathia, Obsessive-compulsive behavior, Pes planus, Scoliosis, Seizures, Short palpebral fissure, Short philtrum, Short stature, Thick vermilion border, Underdeveloped nasal alae, Wide mouth, X-linked dominant inheritance",tRG
C4orf3,C4orf3,0.47829,5.39e-07,Integral membrane protein,BrainSpLMD|401152,"",tRG
TOX,TOX,0.477315,1.75e-06,DNA binding protein,"BrainSpLMD|9760;Eurexp|euxassay_006612|axial skeleton, cervical, cervico-thoracic, clavicle, cricoid, diencephalon, exoccipital bone, femur, hindbrain, inner ear, lip, lung, mandible, mantle layer, mesenchyme, metanephros, metatarsus, midbrain, nasal septum, neural retina, orbito-sphenoid, pelvic girdle, penis, phalanx, rib, scapula, stomach, telencephalon, thoracic, thymus primordium, thyroid, turbinate, vault of skull, vibrissa, vomeronasal organ;BrainSpMouseDev|89963",OMIM|606863,tRG
C1orf61,C1orf61,0.477037,0,Transcription regulatory protein,BrainSpLMD|10485,"",tRG
SIPA1L1,SIPA1L1,0.47574,1.11e-07,GTPase activating protein,BrainSpLMD|26037,OMIM|617504,tRG
TMEM126A,TMEM126A,0.47488,0.000595568,Unclassified,BrainSpLMD|84233,"OMIM|612988;HPO|84233|Autosomal recessive inheritance, Central scotoma, Constriction of peripheral visual field, Dyschromatopsia, Optic atrophy, Optic disc pallor, Reduced visual acuity, Variable expressivity, Visual impairment",tRG
CYP20A1,CYP20A1,0.473464,5.68e-08,Enzyme: Oxygenase,"BrainSpLMD|57404;Eurexp|euxassay_012299|mandible, mantle layer, maxilla, orbito-sphenoid","",tRG
STIP1,STIP1,0.472506,0.000307952,Adapter molecule,BrainSpLMD|10963,OMIM|605063,tRG
ST13,ST13,0.471766,6.82e-11,Adapter molecule,BrainSpLMD|6767,OMIM|606796,tRG
AEBP2,AEBP2,0.470689,5.55e-16,DNA binding protein,"BrainSpLMD|121536;Eurexp|euxassay_014332|footplate, handplate, thymus primordium, ventricular layer;BrainSpMouseDev|11356","",tRG
ZFP91,ZFP91,0.470424,0.000632046,Transcription factor,BrainSpLMD|80829,"",tRG
HSPA8,HSPA8,0.470061,4.44e-15,Heat shock protein,BrainSpLMD|3312,OMIM|600816,tRG
ERF,ERF,0.470052,0,Cell cycle control protein,BrainSpLMD|2077;BrainSpMouseDev|13653,"OMIM|611888;HPO|2077|Abnormal facial shape, Abnormal form of the vertebral bodies, Anteverted nares, Arnold-Chiari malformation, Autosomal dominant inheritance, Brachycephaly, Brachydactyly, Bronchomalacia, Cerebellar hypoplasia, Cognitive impairment, Conductive hearing impairment, Conjunctivitis, Convex nasal ridge, Craniosynostosis, Depressed nasal bridge, Dolichocephaly, External ear malformation, Finger syndactyly, Flat occiput, Frontal bossing, High forehead, Hypertelorism, Hypoplasia of the maxilla, Increased intracranial pressure, Interstitial pulmonary abnormality, Lambdoidal craniosynostosis, Limitation of joint mobility, Low-set, posteriorly rotated ears, Malar flattening, Midface retrusion, Multiple suture craniosynostosis, Muscular hypotonia, Plagiocephaly, Polyhydramnios, Posterior plagiocephaly, Prominent forehead, Proptosis, Ptosis, Recurrent respiratory infections, Retrognathia, Short columella, Skeletal dysplasia, Stomatocytosis, Strabismus, Thick vermilion border, Tracheomalacia, Turricephaly",tRG
NUP98,NUP98,0.469403,5.93e-06,Transport/cargo protein,BrainSpLMD|4928,OMIM|601021;COSMIC||AML,tRG
SAMD4B,SAMD4B,0.468312,0.000317744,Unclassified,BrainSpLMD|55095,"",tRG
U2AF2,U2AF2,0.468117,0.000304012,RNA binding protein,"BrainSpLMD|11338;Eurexp|euxassay_003614|bladder, hindgut, left, midgut, naris, oesophagus, olfactory, rectum, respiratory, right, stomach, submandibular gland primordium, thymus primordium, thyroid, urethra, vibrissa",OMIM|191318,tRG
ARF4,ARF4,0.467366,1.4e-07,Transport/cargo protein,"BrainSpLMD|378;Eurexp|euxassay_000003|arm, associated mesenchyme, axial skeleton, basal columns, clavicle, dermal component, diaphragm, dorsal root ganglion, duodenum, epidermal component, epithelium, facial VII, femur, floor plate, floorplate, foregut, forelimb, frontal bone primordium, glandular mucous membrane, hindlimb, hypoglossal XII, intervertebral disc, leg, limb, lower jaw, mandible, medullary raphe, mesenchyme, nasal capsule, nasal cavity, nasal septum, neural retina, nose, oculomotor III, olfactory, oral epithelium, oral region, pectoral girdle and thoracic body wall, petrous part, pons, skeleton, spinal cord, stomach, stroma, submandibular gland primordium, tibia, trigeminal V, turbinate bones, vagus X, vertebral cartilage condensation, vibrissa",OMIM|601177,tRG
UBL3,UBL3,0.466805,8.26e-06,Ubiquitin proteasome system protein,BrainSpLMD|5412,OMIM|604711,tRG
CAP1,CAP1,0.466539,8.58e-05,Unclassified,BrainSpLMD|10487,"",tRG
METTL15,METTL15,0.465611,0.000140937,Enzyme: Methyltransferase,BrainSpLMD|196074,"",tRG
MAGED1,MAGED1,0.464806,1.71e-08,Cell cycle control protein,"BrainSpLMD|9500;Eurexp|euxassay_012384|alimentary system, cardiovascular system, cavities and their linings, gland, integumental system, limb, mesenchyme, nervous system, renal/urinary system, reproductive system, respiratory system, sensory organ, tail, vertebral axis muscle system;BrainSpMouseDev|60907","SFARI||Autism, 5 - Hypothesized but untested;OMIM|300224",tRG
BBS4,BBS4,0.464319,0.000420134,Unclassified,BrainSpLMD|585,"SFARI||Autism, No category;OMIM|600374;HPO|585|Abnormal electroretinogram, Asthma, Ataxia, Autosomal recessive inheritance, Biliary tract abnormality, Brachydactyly, Broad foot, Congenital primary aphakia, Cryptorchidism, Decreased testicular size, Delayed speech and language development, Dental crowding, Diabetes mellitus, External genital hypoplasia, Foot polydactyly, Gait imbalance, Global developmental delay, Hepatic fibrosis, High, narrow palate, Hirsutism, Hypertension, Hypodontia, Hypogonadism, Hypoplasia of penis, Hypoplasia of the ovary, Intellectual disability, Left ventricular hypertrophy, Multicystic kidney dysplasia, Nephrogenic diabetes insipidus, Neurological speech impairment, Nyctalopia, Nystagmus, Obesity, Pigmentary retinopathy, Polydactyly, Poor coordination, Postaxial hand polydactyly, Radial deviation of finger, Renal cyst, Retinal degeneration, Rod-cone dystrophy, Short foot, Short stature, Specific learning disability, Strabismus, Syndactyly",tRG
MDM2,MDM2,0.463587,4.88e-08,Ubiquitin proteasome system protein,BrainSpLMD|4193;Eurexp|euxassay_006190|embryo,"OMIM|164785;COSMIC||sarcoma, glioma, colorectal, other tumour types;HPO|4193|Breast carcinoma, Lymphoma, Neoplasm of the adrenal cortex, Neoplasm of the colon, Neoplasm of the nervous system, Neoplasm of the pancreas, Neoplasm of the skin, Osteosarcoma, Progressive encephalopathy, Subcutaneous nodule",tRG
MED28,MED28,0.463558,2.08e-07,Transcription regulatory protein,BrainSpLMD|80306,OMIM|610311,tRG
ZNF22,ZNF22,0.463383,2.67e-05,DNA binding protein,"BrainSpLMD|7570;Eurexp|euxassay_004421|alimentary system, cardiovascular system, cavities and their linings, gland, integumental system, limb, nervous system, renal/urinary system, reproductive system, respiratory system, sensory organ, skeleton, tail, vertebral axis muscle system",OMIM|194529,tRG
C12orf49,C12orf49,0.4631,0.000477453,Unclassified,BrainSpLMD|79794;Eurexp|euxassay_006358|olfactory,"",tRG
CHORDC1,CHORDC1,0.459032,1.04e-10,Unclassified,"BrainSpLMD|26973;Eurexp|euxassay_005070|brain, olfactory, trigeminal V, vomeronasal organ",OMIM|604353,tRG
LRP6,LRP6,0.457229,2.62e-11,Structural protein,"BrainSpLMD|4040;Eurexp|euxassay_018221|lung, nasal septum, otic capsule, submandibular gland primordium, trachea, vibrissa;BrainSpMouseDev|16744","OMIM|603507;HPO|4040|Agenesis of permanent teeth, Autosomal dominant inheritance, Hypoplasia of the maxilla, Microdontia, Micrognathia, Oligodontia",tRG
DPF2,DPF2,0.457197,0.000180453,DNA binding protein,BrainSpLMD|5977;BrainSpMouseDev|19471,OMIM|601671,tRG
NOG,NOG,0.455533,6.78e-06,Secreted polypeptide,"BrainSpLMD|9241;Eurexp|euxassay_009618|axial skeleton, mandible, mantle layer, nasal septum, otic capsule, phalanx, rib, sternum, thyroid, turbinate bones, ventral grey horn;BrainSpMouseDev|17888","OMIM|602991;HPO|9241|2-3 toe syndactyly, Abnormal vertebral morphology, Abnormality of the ankles, Absent distal interphalangeal creases, Absent distal phalanges, Absent fingernail, Absent phalangeal crease, Anonychia, Aplasia/Hypoplasia of the distal phalanges of the hand, Aplasia/Hypoplasia of the distal phalanges of the toes, Aplasia/Hypoplasia of the middle phalanges of the hand, Aplasia/Hypoplasia of the middle phalanges of the toes, Aplasia/Hypoplasia of the nails, Aplastic/hypoplastic toenail, Autosomal dominant inheritance, Brachydactyly, Broad hallux, Broad thumb, Camptodactyly of finger, Carpal synostosis, Clinodactyly, Conductive hearing impairment, Congenital stapes ankylosis, Cubitus valgus, Cutaneous finger syndactyly, Cutaneous syndactyly of toes, Dislocated radial head, Elbow ankylosis, Elbow dislocation, Enlargement of the costochondral junction, Finger syndactyly, Fusion of midphalangeal joints, Hypermetropia, Hypoplastic nasal septum, Hypoplastic spinal processes, Long nose, Low hanging columella, Lower limb undergrowth, Metacarpophalangeal synostosis, Narrow face, Pectus excavatum, Progressive conductive hearing impairment, Progressive fusion 2nd-5th pip joints, Proximal placement of thumb, Proximal symphalangism, Proximal symphalangism of hands, Proximal/middle symphalangism of 5th finger, Radial deviation of finger, Sensorineural hearing impairment, Short 1st metacarpal, Short 5th metacarpal, Short distal phalanx of finger, Short distal phalanx of toe, Short finger, Short foot, Short hallux, Short humerus, Short lower limbs, Short philtrum, Short stature, Short sternum, Single transverse palmar crease, Spinal canal stenosis, Stapes ankylosis, Strabismus, Symphalangism affecting the phalanges of the hand, Synostosis of carpal bones, Tarsal synostosis, Thick upper lip vermilion, Thin upper lip vermilion, Toe syndactyly, Type B brachydactyly, Underdeveloped nasal alae, Waddling gait",tRG
RP11.444D3.1,RP11.444D3.1,0.454896,0.000890583,"","","",tRG
ZNF521,ZNF521,0.454656,9.6e-06,Transcription regulatory protein,BrainSpLMD|25925;BrainSpMouseDev|86218,OMIM|610974;COSMIC||ALL,tRG
CDC14B,CDC14B,0.453385,1.38e-07,Dual specificity phosphatase,BrainSpLMD|8555,OMIM|603505,tRG
GPR75.ASB3,GPR75.ASB3,0.453247,0.000154502,"","","",tRG
RP11.553L6.5,RP11.553L6.5,0.451903,1.59e-09,"","","",tRG
RPS9,RPS9,0.451218,3.15e-05,Ribosomal subunit,"",OMIM|603631,tRG
RANBP1,RANBP1,0.450754,0.000737746,Transport/cargo protein,"",OMIM|601180,tRG
CNP,CNP,0.44964,2.36e-07,Enzyme: Phosphodiesterase,BrainSpLMD|1267;BrainSpMouseDev|12582,OMIM|123830,tRG
TARS,TARS,0.448723,0.000504797,Enzyme: Ligase,"BrainSpLMD|6897;Eurexp|euxassay_006234|cortex, left, orbito-sphenoid, right, submandibular gland primordium, thymus primordium, ventricular layer, vertebral axis muscle system, vibrissa",OMIM|187790,tRG
NAP1L1,NAP1L1,0.448706,0,Transcription regulatory protein,BrainSpLMD|4673;Eurexp|euxassay_005511|nucleus pulposus,OMIM|164060,tRG
MRPS7,MRPS7,0.448146,0.000229185,Ribosomal subunit,BrainSpLMD|51081,OMIM|611974,tRG
SNHG6,SNHG6,0.447854,1.84e-07,"","",OMIM|612215,tRG
TCTN3,TCTN3,0.445403,7.28e-07,Integral membrane protein,"BrainSpLMD|26123;Eurexp|euxassay_011590|choroid invagination, choroid plexus, olfactory, roof plate","OMIM|613847;HPO|26123|Abnormality of eye movement, Abnormality of oral frenula, Abnormality of the gingiva, Abnormality of the tongue, Absent testis, Accessory oral frenulum, Aplasia/Hypoplasia of the tibia, Autosomal recessive inheritance, Bifid uvula, Brachydactyly, Camptodactyly, Camptodactyly of finger, Cerebral atrophy, Cerebral cortical hemiatrophy, Choanal atresia, Cleft palate, Clinodactyly, Conductive hearing impairment, Decreased testicular size, Depressed nasal ridge, Epicanthus, Failure to thrive, Feeding difficulties, Finger syndactyly, Foot polydactyly, Genu varum, Global developmental delay, Hamartoma, Hamartoma of tongue, Hand polydactyly, High palate, High, narrow palate, Horseshoe kidney, Hypertelorism, Intellectual disability, Intrauterine growth retardation, Joint dislocation, Joint laxity, Kyphoscoliosis, Laryngomalacia, Lobulated tongue, Low-set ears, Median cleft lip, Microcephaly, Micrognathia, Micromelia, Microtia, third degree, Molar tooth sign on MRI, Monorchism, Oligohydramnios, Oral synechia, Pectus excavatum, Phenotypic variability, Polydactyly, Porencephalic cyst, Postaxial hand polydactyly, Posteriorly rotated ears, Preaxial hand polydactyly, Proptosis, Recurrent respiratory infections, Retrognathia, Severe short stature, Short finger, Short nose, Short stature, Short tibia, Specific learning disability, Split hand, Subcortical cerebral atrophy, Submucous cleft hard palate, Toe syndactyly, Tongue nodules, Ventricular septal defect, Wide nose",tRG
CNBP,CNBP,0.44538,7.94e-12,RNA binding protein,BrainSpLMD|7555,"OMIM|116955;COSMIC||aneurysmal bone cyst;HPO|7555|Autosomal dominant inheritance, Cataract, Diabetes mellitus, Elevated circulating follicle stimulating hormone level, Elevated serum creatine phosphokinase, Frontal balding, Hypogonadism, IgG deficiency, IgM deficiency, Insulin insensitivity, Iridescent posterior subcapsular cataract, Myalgia, Myotonia, Neck flexor weakness, Oligospermia, Palpitations, Proximal muscle weakness, Tachycardia, Type 2 muscle fiber atrophy",tRG
WWTR1,WWTR1,0.445035,5.55e-05,Transcription regulatory protein,"BrainSpLMD|25937;Eurexp|euxassay_000592|limb, tail, ventricular layer, vertebral axis muscle system;BrainSpMouseDev|61234",OMIM|607392;COSMIC||epithelioid haemangioendothelioma,tRG
LSAMP,LSAMP,0.444537,1.4e-06,Adhesion molecule,BrainSpLMD|4045,OMIM|603241,tRG
RPN2,RPN2,0.443241,6.57e-07,Enzyme: Glycosyltransferase,BrainSpLMD|6185;Eurexp|euxassay_018263|embryo,OMIM|180490,tRG
NARS,NARS,0.442655,9.72e-05,Enzyme: Ligase,BrainSpLMD|4677,OMIM|108410,tRG
ZFX,ZFX,0.442423,7.28e-06,Transcription factor,BrainSpLMD|7543,OMIM|314980,tRG
FKBP9,FKBP9,0.441647,4.24e-09,Chaperone,"BrainSpLMD|11328;Eurexp|euxassay_007465|axial skeleton, bladder, clavicle, cricoid, exoccipital bone, femur, fibula, humerus, incisor, mandible, maxilla, mesenchyme, metatarsus, nasal septum, nucleus pulposus, orbito-sphenoid, otic capsule, phalanx, radius, rib, sternum, temporal bone, thyroid, tibia, turbinate, ulna, vault of skull",OMIM|616257;COSMIC||glioma,tRG
TMCO1,TMCO1,0.441089,1.19e-05,Integral membrane protein,"BrainSpLMD|54499;Eurexp|euxassay_010558|clavicle, mandible, maxilla, rib","OMIM|614123;HPO|54499|Bifid ribs, Brachycephaly, Broad philtrum, Cerebellar vermis hypoplasia, Cerebral cortical atrophy, Coarse hair, Downslanted palpebral fissures, Epicanthus, Hemivertebrae, Hernia, Hypertelorism, Hypoplasia of the corpus callosum, Intellectual disability, Low posterior hairline, Low-set, posteriorly rotated ears, Macrocephaly, Midface retrusion, Narrow chest, Polyhydramnios, Rib fusion, Scoliosis, Short neck, Short nose, Short stature, Sprengel anomaly, Strabismus, Synophrys, Thick eyebrow, Ventriculomegaly, Wide mouth, Wide nose",tRG
TENM1,TENM1,0.441002,2.09e-05,Integral membrane protein,BrainSpLMD|10178,OMIM|300588,tRG
ZDBF2,ZDBF2,0.439709,1.62e-05,Unclassified,"Eurexp|euxassay_011111|diaphragm, footplate, handplate, mantle layer, paraxial mesenchyme, pituitary, rest of mesenchyme, skeletal muscle, vertebral axis muscle system",OMIM|617059,tRG
AFF4,AFF4,0.439704,0.000258666,Transcription factor,BrainSpLMD|27125,"SFARI||Autism, 6 - Evidence does not support role;OMIM|604417;COSMIC||ALL;HPO|27125|Abnormality of the cardiac septa, Aspiration pneumonia, Autosomal dominant inheritance, Brachydactyly, Chronic lung disease, Coarse facial features, Congenital onset, Cryptorchidism, Downturned corners of mouth, Gastroesophageal reflux, Global developmental delay, Hypertelorism, Intellectual disability, Laryngomalacia, Long eyelashes, Obesity, Patent ductus arteriosus, Proptosis, Round face, Short nose, Short stature, Thick eyebrow, Thick hair, Tracheal stenosis, Vesicoureteral reflux",tRG
AC068522.4,AC068522.4,0.439611,6.35e-09,"","","",tRG
KIF13A,KIF13A,0.439595,2.42e-05,Motor protein,"BrainSpLMD|63971;Eurexp|euxassay_011388|anterior, bladder, dorsal root ganglion, external, facial VII, incisor, left lung, mantle layer, molar, naso-lacrimal duct, oral epithelium, pharyngo-tympanic tube, right lung, submandibular gland primordium, urethra",OMIM|605433,tRG
GNG5,GNG5,0.438937,5.29e-11,G protein,BrainSpLMD|2787;Eurexp|euxassay_007798|embryo,OMIM|600874,tRG
FHL1,FHL1,0.437306,4.72e-08,Unclassified,"BrainSpLMD|2273;Eurexp|euxassay_018418|bladder, brain, diaphragm, dorsal root ganglion, head mesenchyme, limb, penis, rectum, spinal cord, tongue, vertebral axis muscle system","OMIM|300163;HPO|2273|Adult onset, Areflexia, Arrhythmia, Back pain, Elevated serum creatine phosphokinase, Flexion contracture, Foot dorsiflexor weakness, Frequent falls, Hyperlordosis, Hypertrophic cardiomyopathy, Hyporeflexia, Increased variability in muscle fiber diameter, Kyphosis, Lower limb muscle weakness, Myofibrillar myopathy, Progressive, Proximal muscle weakness, Rapidly progressive, Respiratory insufficiency, Respiratory insufficiency due to muscle weakness, Rimmed vacuoles, Scapular winging, Scapuloperoneal myopathy, Scapuloperoneal weakness, Scoliosis, Short neck, Skeletal muscle atrophy, Spinal rigidity, Steppage gait, Waddling gait, X-linked dominant inheritance, X-linked inheritance, X-linked recessive inheritance",tRG
SORBS1,SORBS1,0.437089,1.94e-05,Cell junction protein,"BrainSpLMD|10580;Eurexp|euxassay_003610|axial skeleton, basisphenoid bone, bladder, brain, dorsal root ganglion, facial VII, forelimb, glossopharyngeal IX, heart, hindlimb, incisor, lens, liver, lung, metanephros, midgut, nasal septum, oesophagus, olfactory, orbito-sphenoid, otic capsule, respiratory, retina, rib, spinal cord, sternum, stomach, tongue, trachea, trigeminal V, vagus X, vertebra, vertebral cartilage condensation, vestibulocochlear VIII;BrainSpMouseDev|20174",OMIM|605264,tRG
